Stock A,Stock B,p-value
DABUR.NS,HINDUNILVR.NS,9.992763784907044e-05
GRASIM.NS,HINDALCO.NS,0.000245712968763465
HINDALCO.NS,TATASTEEL.NS,0.0005492006675183771
CHOLAFIN.NS,JINDALSTEL.NS,0.0021274429378725992
BAJAJ-AUTO.NS,SIEMENS.NS,0.002271312364396844
ASHOKLEY.NS,EICHERMOT.NS,0.002356435606580479
BHARATFORG.NS,TVSMOTOR.NS,0.003177988951266035
AMBUJACEM.NS,SBIN.NS,0.003719463380978187
SRF.NS,TATACHEM.NS,0.0038065904295393046
JINDALSTEL.NS,ULTRACEMCO.NS,0.0038288578902549502
ADANIPORTS.NS,ULTRACEMCO.NS,0.004117747960927245
GRASIM.NS,TATASTEEL.NS,0.004436126258264159
BHEL.NS,COALINDIA.NS,0.004740986237079109
ICICIPRULI.NS,MUTHOOTFIN.NS,0.006040875927277652
SBIN.NS,TATAPOWER.NS,0.0063402013856329684
AXISBANK.NS,CHOLAFIN.NS,0.006435064698805339
ADANIENT.NS,TATACHEM.NS,0.006561955042372334
JINDALSTEL.NS,SBIN.NS,0.006639411590566668
HINDALCO.NS,ULTRACEMCO.NS,0.007046447440238221
HAVELLS.NS,HINDALCO.NS,0.007059327026435421
AMBUJACEM.NS,HINDALCO.NS,0.007341329628650898
BHARATFORG.NS,TATAPOWER.NS,0.007701362364641234
AXISBANK.NS,LT.NS,0.008076372441841369
AMBUJACEM.NS,TATAPOWER.NS,0.008104547454472396
ADANIPORTS.NS,JINDALSTEL.NS,0.008370252439742314
BHARATFORG.NS,NTPC.NS,0.008629635385002476
ASHOKLEY.NS,GRASIM.NS,0.009078489722081211
ADANIPORTS.NS,SBIN.NS,0.00965782416977994
BHARATFORG.NS,ONGC.NS,0.009846726695519939
BAJAJFINSV.NS,RELIANCE.NS,0.009907312496062273
CANBK.NS,IOC.NS,0.009962130165127628
NTPC.NS,OIL.NS,0.010414474034109854
ASHOKLEY.NS,VEDL.NS,0.01075066882323043
CHOLAFIN.NS,SBIN.NS,0.010776087022835276
CANBK.NS,ONGC.NS,0.01107499957290489
AMBUJACEM.NS,JINDALSTEL.NS,0.011214919872234521
BHARATFORG.NS,LT.NS,0.012521406641849277
CANBK.NS,COALINDIA.NS,0.012671954618853275
ASHOKLEY.NS,JINDALSTEL.NS,0.012888356837328521
HDFCBANK.NS,SHREECEM.NS,0.01319019747334994
HAVELLS.NS,PIDILITIND.NS,0.014092134625470208
AMBUJACEM.NS,TATASTEEL.NS,0.014789927158368391
EICHERMOT.NS,TVSMOTOR.NS,0.015101701451049339
AXISBANK.NS,JINDALSTEL.NS,0.015546351228170208
HDFCBANK.NS,KOTAKBANK.NS,0.015790276497164475
BAJAJ-AUTO.NS,BHARATFORG.NS,0.015914422462767735
JINDALSTEL.NS,LT.NS,0.016513671092780922
AXISBANK.NS,SBIN.NS,0.01654115062446539
IOC.NS,ONGC.NS,0.01661940202788173
AXISBANK.NS,ULTRACEMCO.NS,0.017031472066766404
GRASIM.NS,JINDALSTEL.NS,0.017050970079481764
BHARATFORG.NS,EICHERMOT.NS,0.017077596346071908
ADANIENT.NS,SRF.NS,0.017705776753815867
HAVELLS.NS,ICICIBANK.NS,0.019909314291590683
BAJAJ-AUTO.NS,M&M.NS,0.02038045008765952
BHEL.NS,BOSCHLTD.NS,0.021009741703827398
ASIANPAINT.NS,BAJFINANCE.NS,0.021467550627001845
BOSCHLTD.NS,CANBK.NS,0.022932901806599095
BANKBARODA.NS,COALINDIA.NS,0.02346024694532629
HINDALCO.NS,SBIN.NS,0.0238033098460791
SBIN.NS,VEDL.NS,0.02519669965174925
